Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium tetani	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Clostridium thermocellum	[104]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Flavobacterium johnsoniae	[424]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus acidophilus	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus brevis	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus casei	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus fermentum	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus helveticus	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Lactobacillus plantarum	[147]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Ruminococcus bromii	[371,371]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Subdoligranulum variabile	[128]
Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	Thermotoga maritima	[160]
Dichloromethane (Methylene chloride)	Consumption (import)	Methylobacterium extorquens (Methylobacterium chloromethanicum)	[51,51]
Dimethyl sulfide (Methyl sulfide)	Consumption (import)	Methanosarcina acetivorans	[20]
Dimethylamine	Production (export)	Bacteroides fragilis	[308]
Dimethylamine	Production (export)	Bacteroides ovatus	[308]
Dimethylamine	Production (export)	Bacteroides thetaiotaomicron	[308]
Dimethylamine	Production (export)	Bifidobacterium adolescentis	[308]
Dimethylamine	Production (export)	Bifidobacterium bifidum	[308]
Dimethylamine	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[308]
Dimethylamine	Production (export)	Clostridium perfringens	[308]
Dimethylamine	Production (export)	Escherichia coli	[308]
Dimethylamine	Production (export)	Faecalibacterium prausnitzii	[230]
Dimethylamine	Consumption (import)	Methanohalophilus mahii	[28]
Dimethylamine	Consumption (import)	Methanosarcina acetivorans	[28]
Dimethylamine	Consumption (import)	Methanosarcina barkeri	[28]
Dimethylamine	Consumption (import)	Methanosarcina mazei	[28]
Dimethylamine	Consumption (import)	Methanosphaera stadtmanae	[28]
DNA RNA Polynucleotide	Macromolecule degradation	Bacillus licheniformis	[299]
DNA RNA Polynucleotide	Macromolecule degradation	Bacillus megaterium	[12]
DNA RNA Polynucleotide	Macromolecule degradation	Bacillus pumilus	[12]
DNA RNA Polynucleotide	Macromolecule degradation	Bacillus subtilis	[38]
DNA RNA Polynucleotide	Macromolecule degradation	Brevibacillus brevis	[12]
DNA RNA Polynucleotide	Macromolecule degradation	Fibrobacter succinogenes (Bacteroides succinogenes)	[351]
DNA RNA Polynucleotide	Macromolecule degradation	Prevotella bryantii	[3]
DNA RNA Polynucleotide	Macromolecule degradation	Prevotella ruminicola (Bacteroides ruminicola)	[351]
DNA RNA Polynucleotide	Macromolecule degradation	Pseudomonas putida	[12]
DNA RNA Polynucleotide	Macromolecule degradation	Shewanella putrefaciens (Pseudomonas putrefaciens)	[274]
DNA RNA Polynucleotide	Macromolecule degradation	Staphylococcus aureus	[8,15,299]
DNA RNA Polynucleotide	Macromolecule degradation	Staphylococcus lugdunensis	[299]
DNA RNA Polynucleotide	Macromolecule degradation	Stenotrophomonas maltophilia	[12]
DNA RNA Polynucleotide	Macromolecule degradation	Streptococcus anginosus	[299]
DNA RNA Polynucleotide	Macromolecule degradation	Streptococcus pneumoniae	[21]
DNA RNA Polynucleotide	Macromolecule degradation	Streptococcus salivarius	[299]
DNA RNA Polynucleotide	Macromolecule degradation	Vibrio cholerae	[3,21,30,296]
DNA RNA Polynucleotide	Macromolecule degradation	Vibrio vulnificus	[3,30]
Dodecanoate (Lauric acid, Laureate)	Consumption (import)	Syntrophomonas wolfei	[314]
Erythritol	Consumption (import)	Holdemania filiformis	[358]
Ethanol	Production (export)	Acetivibrio cellulolyticus	[237]
Ethanol	Consumption (import)	Acetobacter pasteurianus	[134]
Ethanol	Production (export)	Agrobacterium tumefaciens (Rhizobium radiobacter)	[339]
Ethanol	Production (export)	Azotobacter vinelandii	[339]
Ethanol	Production (export)	Bacteroides thetaiotaomicron	[118]
Ethanol	Production (export)	Bifidobacterium adolescentis	[91]
Ethanol	Production (export)	Bifidobacterium angulatum	[91]
Ethanol	Production (export)	Bifidobacterium animalis	[91]
Ethanol	Production (export)	Bifidobacterium bifidum	[155,91]
Ethanol	Production (export)	Bifidobacterium breve	[190,91]
Ethanol	Production (export)	Bifidobacterium catenulatum	[91]
Ethanol	Production (export)	Bifidobacterium dentium	[91]
Ethanol	Production (export)	Bifidobacterium gallicum	[91]
Ethanol	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[68,91,91,91]
Ethanol	Production (export)	Bifidobacterium pseudocatenulatum	[91]
Ethanol	Consumption (import)	Bilophila wadsworthia	[169]
Ethanol	Production (export)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Ethanol	Production (export)	Clostridium acetobutylicum	[278,188,339]
Ethanol	Production (export)	Clostridium asparagiforme	[188,339]
Ethanol	Production (export)	Clostridium bartlettii	[188,339]
Ethanol	Production (export)	Clostridium beijerinckii	[48,216,188,339]
Ethanol	Production (export)	Clostridium bolteae	[188,339]
Ethanol	Production (export)	Clostridium botulinum	[188,339]
Ethanol	Production (export)	Clostridium butyricum	[188,339]
Ethanol	Production (export)	Clostridium carboxidivorans	[188,339]
Ethanol	Production (export)	Clostridium cellulolyticum	[239,278,188,339]
Ethanol	Production (export)	Clostridium cellulovorans	[188,339]
Ethanol	Production (export)	Clostridium cf	[188,339]
Ethanol	Production (export)	Clostridium difficile	[188,339]
Ethanol	Production (export)	Clostridium hathewayi	[188,339]
Ethanol	Production (export)	Clostridium hiranonis	[188,339]
Ethanol	Production (export)	Clostridium hylemonae	[188,339]
Ethanol	Consumption (import) & production (export)	Clostridium kluyveri	[42,294,318,319,188,339]
Ethanol	Production (export)	Clostridium leptum	[128,188,339]
Ethanol	Production (export)	Clostridium ljungdahlii	[188,339]
Ethanol	Production (export)	Clostridium methylpentosum	[188,339]
Ethanol	Production (export)	Clostridium nexile	[188,339]
Ethanol	Production (export)	Clostridium novyi	[188,339]
Ethanol	Production (export)	Clostridium papyrosolvens	[188,339]
Ethanol	Production (export)	Clostridium perfringens	[188,339]
Ethanol	Production (export)	Clostridium phytofermentans	[188,339]
Ethanol	Production (export)	Clostridium saccharolyticum	[188,339]
Ethanol	Production (export)	Clostridium scindens	[188,339]
Ethanol	Production (export)	Clostridium sporogenes	[188,339]
Ethanol	Production (export)	Clostridium sticklandii	[188,339]
Ethanol	Production (export)	Clostridium symbiosum	[188,339]
Ethanol	Production (export)	Clostridium tetani	[306,188,339]
Ethanol	Production (export)	Clostridium thermocellum	[188,339]
Ethanol	Production (export)	Collinsella aerofaciens (Eubacterium aerofaciens)	[145]
Ethanol	Production (export)	Collinsella intestinalis	[145]
Ethanol	Production (export)	Collinsella stercoris	[145]
Ethanol	Production (export)	Coprococcus eutactus	[124]
Ethanol	Consumption (import)	Desulfobulbus propionicus	[288,318]
Ethanol	Consumption (import)	Desulfotomaculum nigrificans	[135]
Ethanol	Consumption (import)	Desulfovibrio aespoeensis	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio desulfuricans	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio fructosovorans	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio magneticus	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio piger	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio salexigens	[106,302,319]
Ethanol	Consumption (import)	Desulfovibrio vulgaris	[157,302,106,302,319]
Ethanol	Production (export)	Dorea formicigenerans	[333]
Ethanol	Production (export)	Dorea longicatena	[333]
Ethanol	Production (export)	Escherichia albertii	[316]
Ethanol	Production (export)	Escherichia coli	[342,316]
Ethanol	Production (export)	Escherichia fergusonii	[316]
Ethanol	Consumption (import)	Eubacterium limosum	[319]
Ethanol	Production (export)	Eubacterium siraeum	[128]
Ethanol	Consumption (import)	Geobacter bemidjiensis	[302]
Ethanol	Consumption (import)	Geobacter lovleyi	[302]
Ethanol	Consumption (import)	Geobacter metallireducens	[186,222,302,327,302]
Ethanol	Consumption (import)	Geobacter sulfurreducens	[302]
Ethanol	Consumption (import)	Geobacter uraniumreducens	[302]
Ethanol	Production (export)	Klebsiella pneumoniae	[4]
Ethanol	Production (export)	Lactobacillus acidophilus	[316]
Ethanol	Production (export)	Lactobacillus amylolyticus	[316]
Ethanol	Production (export)	Lactobacillus amylovorus	[316]
Ethanol	Production (export)	Lactobacillus antri	[316]
Ethanol	Production (export)	Lactobacillus brevis	[316]
Ethanol	Production (export)	Lactobacillus buchneri	[234,316]
Ethanol	Production (export)	Lactobacillus casei	[316]
Ethanol	Production (export)	Lactobacillus coleohominis	[316]
Ethanol	Production (export)	Lactobacillus crispatus	[316]
Ethanol	Production (export)	Lactobacillus delbrueckii	[316]
Ethanol	Production (export)	Lactobacillus fermentum	[316]
Ethanol	Production (export)	Lactobacillus gasseri	[316]
Ethanol	Production (export)	Lactobacillus helveticus	[316]
Ethanol	Production (export)	Lactobacillus hilgardii	[316]
Ethanol	Production (export)	Lactobacillus iners	[316]
Ethanol	Production (export)	Lactobacillus jensenii	[316]
Ethanol	Production (export)	Lactobacillus johnsonii	[316]
Ethanol	Production (export)	Lactobacillus oris	[316]
Ethanol	Production (export)	Lactobacillus paracasei	[316]
Ethanol	Production (export)	Lactobacillus plantarum	[179,316]
Ethanol	Production (export)	Lactobacillus reuteri	[316]
Ethanol	Production (export)	Lactobacillus rhamnosus	[316]
Ethanol	Production (export)	Lactobacillus ruminis	[316]
Ethanol	Production (export)	Lactobacillus sakei	[316]
Ethanol	Production (export)	Lactobacillus salivarius	[316]
Ethanol	Production (export)	Lactobacillus ultunensis	[316]
Ethanol	Production (export)	Lactobacillus vaginalis	[316]
Ethanol	Production (export)	Lactococcus lactis	[63]
Ethanol	Production (export)	Leuconostoc citreum	[316]
Ethanol	Production (export)	Leuconostoc gasicomitatum	[316]
Ethanol	Production (export)	Leuconostoc kimchii	[316]
Ethanol	Production (export)	Leuconostoc mesenteroides	[339,316]
Ethanol	Consumption (import)	Methanobrevibacter smithii	[223,282]
Ethanol	Consumption (import)	Moorella thermoacetica	[81]
Ethanol	Consumption (import) & production (export)	Pelobacter carbinolicus	[5,289,302,302,327]
Ethanol	Consumption (import)	Pelobacter propionicus	[288,289,318]
Ethanol	Consumption (import)	Pelotomaculum thermopropionicum	[135,162,302]
Ethanol	Production (export)	Pseudomonas aeruginosa	[339]
Ethanol	Production (export)	Ruminococcus albus	[188,318]
Ethanol	Production (export)	Ruminococcus bromii	[350]
Ethanol	Production (export)	Ruminococcus torques	[124]
Ethanol	Production (export)	Streptococcus agalactiae	[339]
Ethanol	Production (export)	Streptococcus anginosus	[339]
Ethanol	Production (export)	Streptococcus australis	[339]
Ethanol	Production (export)	Streptococcus bovis (Streptococcus equinus)	[339]
Ethanol	Production (export)	Streptococcus cristatus	[339]
Ethanol	Production (export)	Streptococcus downei	[339]
Ethanol	Production (export)	Streptococcus dysgalactiae	[339]
Ethanol	Production (export)	Streptococcus equi	[339]
Ethanol	Production (export)	Streptococcus gallolyticus	[339]
Ethanol	Production (export)	Streptococcus gordonii	[339]
Ethanol	Production (export)	Streptococcus infantarius	[339]
Ethanol	Production (export)	Streptococcus infantis	[339]
Ethanol	Production (export)	Streptococcus mitis	[339]
Ethanol	Production (export)	Streptococcus mutans	[339]
Ethanol	Production (export)	Streptococcus oralis	[339]
Ethanol	Production (export)	Streptococcus parasanguinis	[339]
Ethanol	Production (export)	Streptococcus peroris	[339]
Ethanol	Production (export)	Streptococcus pneumoniae	[339]
Ethanol	Production (export)	Streptococcus pseudoporcinus	[339]
Ethanol	Production (export)	Streptococcus pyogenes	[339]
Ethanol	Production (export)	Streptococcus salivarius	[339]
Ethanol	Production (export)	Streptococcus sanguinis	[339]
Ethanol	Production (export)	Streptococcus suis	[339]
Ethanol	Production (export)	Streptococcus thermophilus	[339]
Ethanol	Production (export)	Streptococcus uberis	[339]
Ethanol	Production (export)	Streptococcus vestibularis	[339]
Ethanol	Consumption (import)	Syntrophobacter fumaroxidans	[162,302]
Ethanol	Consumption (import)	Syntrophobotulus glycolicus	[302]
Ethanol	Consumption (import)	Syntrophomonas wolfei	[162,302]
Ethanol	Consumption (import)	Syntrophothermus lipocalidus	[302]
Ethanol	Consumption (import)	Syntrophus aciditrophicus	[162,302]
Ethanol	Production (export)	Zymomonas mobilis	[339]
Ethanolamine (Phosphatidylethanolamine)	Consumption (import)	Acidovorax avenae	[360]
Ethanolamine (Phosphatidylethanolamine)	Consumption (import)	Klebsiella pneumoniae	[178]
Ethanolamine (Phosphatidylethanolamine)	Consumption (import)	Pelobacter carbinolicus	[5]
Folic acid (Folate, Vitamin B9)	Production (export)	Baumannia cicadellinicola	[207,368]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium adolescentis	[174,248,265,267]
Folic acid (Folate, Vitamin B9)	Consumption (import) & production (export)	Bifidobacterium animalis	[173,174,265,267]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium bifidum	[174,265,267,362]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium breve	[174,248,265,267,362]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium catenulatum	[265]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium dentium	[174,265,267]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[173,174,248,265,267,362]
Folic acid (Folate, Vitamin B9)	Production (export)	Bifidobacterium pseudocatenulatum	[248,265,267]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Clostridium novyi	[89]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Clostridium tetani	[242]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Colonocyte (host colon)	[336]
Folic acid (Folate, Vitamin B9)	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[362]
Folic acid (Folate, Vitamin B9)	Production (export)	Escherichia coli	[362]
Folic acid (Folate, Vitamin B9)	Production (export)	Lactobacillus acidophilus	[173,251]
Folic acid (Folate, Vitamin B9)	Production (export)	Lactobacillus brevis	[130]
Folic acid (Folate, Vitamin B9)	Consumption (import) & production (export)	Lactobacillus casei	[89,120,120,242,248]
Folic acid (Folate, Vitamin B9)	Production (export)	Lactobacillus fermentum	[130]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Lactobacillus gasseri	[173,173,357]
Folic acid (Folate, Vitamin B9)	Production (export)	Lactobacillus plantarum	[130,131,173,174,265,283]
Folic acid (Folate, Vitamin B9)	Production (export)	Lactobacillus reuteri	[130,173,283]
Folic acid (Folate, Vitamin B9)	Consumption (import) & production (export)	Lactococcus lactis	[89,173,248,265,357]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Mycoplasma capricolum	[89]
Folic acid (Folate, Vitamin B9)	Consumption (import)	Streptococcus mutans	[89]
Folic acid (Folate, Vitamin B9)	Production (export)	Streptococcus thermophilus	[173,251,265]
Formaldehyde	Production (export)	Enterococcus faecalis (Streptococcus faecalis)	[33]
Formaldehyde	Production (export)	Escherichia coli	[33]
Formaldehyde	Production (export)	Klebsiella pneumoniae	[33]
Formaldehyde	Consumption (import)	Methylobacterium extorquens (Methylobacterium chloromethanicum)	[51]
Formaldehyde	Consumption (import)	Methylobacterium nodulans	[427]
Formaldehyde	Production (export)	Pseudomonas aeruginosa	[33]
Formaldehyde	Consumption (import)	Pseudomonas putida	[52]
Formaldehyde	Production (export)	Staphylococcus aureus	[33]
Formaldehyde	Production (export)	Streptococcus pneumoniae	[33]
Formate	Consumption (import)	Acetohalobium arabaticum	[233]
Formate	Production (export)	Anaerostipes caccae	[285]
Formate	Production (export)	Atopobium parvulum	[185]
Formate	Production (export)	Atopobium rimae	[185]
Formate	Production (export)	Atopobium vaginae	[185]
Formate	Production (export)	Bacteroides caccae	[394]
Formate	Production (export)	Bacteroides stercoris	[395]
Formate	Production (export)	Bacteroides thetaiotaomicron	[118,199,281]
Formate	Production (export)	Bacteroides vulgatus	[396]
Formate	Production (export)	Bifidobacterium adolescentis	[18,91,185]
Formate	Production (export)	Bifidobacterium angulatum	[18,91,185]
Formate	Production (export)	Bifidobacterium animalis	[18,91,185]
Formate	Production (export)	Bifidobacterium bifidum	[18,91,185]
Formate	Production (export)	Bifidobacterium breve	[190,18,91,185]
Formate	Production (export)	Bifidobacterium catenulatum	[18,91,185]
Formate	Production (export)	Bifidobacterium dentium	[18,91,185]
Formate	Production (export)	Bifidobacterium gallicum	[18,91,185]
Formate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[68,91,18,91,185,18,91,185]
Formate	Production (export)	Bifidobacterium pseudocatenulatum	[18,91,185]
Formate	Consumption (import)	Bilophila wadsworthia	[169,304]
Formate	Consumption (import)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)	[24]
Formate	Production (export)	Butyrivibrio crossotus	[366]
Formate	Production (export)	Butyrivibrio fibrisolvens	[366]
Formate	Production (export)	Butyrivibrio proteoclasticus	[152,366]
Formate	Consumption (import)	Campylobacter gracilis	[358]
Formate	Production (export)	Clostridium thermocellum	[315]
Formate	Production (export)	Collinsella aerofaciens (Eubacterium aerofaciens)	[255,145]
Formate	Production (export)	Collinsella intestinalis	[145]
Formate	Production (export)	Collinsella stercoris	[145]
Formate	Production (export)	Coprococcus eutactus	[124,326]
Formate	Consumption (import)	Desulfarculus baarsii	[291]
Formate	Production (export)	Desulfatibacillum alkenivorans	[302]
Formate	Consumption (import)	Desulfovibrio aespoeensis	[255,321,324]
